shipment_id,origin_city,destination_city,carrier,scheduled_dispatch_date,actual_dispatch_date,scheduled_arrival_date,actual_arrival_date,weight_kg,volume_m3,distance_km,transit_time_hours,fuel_cost_usd,delay_hours,status,customer_rating
SHP000707,Ahmedabad,Lucknow,Fastship,2026-01-01,2025-12-31,2026-01-01 08:36:23.934659,2026-01-01 07:43:08.686790,-0.3619178291287666,-0.4574672175521714,-1.0626220973422358,-0.6486193717304864,-0.8709753648174056,0.6680471232669132,In Transit,5.0
SHP001280,Jaipur,Ahmedabad,Fastship,2026-01-01,2025-12-31,2026-01-01 16:55:20.326137,2026-01-01 11:27:11.327847,-0.3599227573619609,-0.39122799522883883,-0.11470628473836254,-0.29372078722652684,-0.261761999289478,-0.4283979887551418,Cancelled,5.0
SHP002226,Hyderabad,Ahmedabad,Globalline,2026-01-01,2025-12-31,2026-01-02 00:29:44.393598,2026-01-01 18:01:56.772664,0.5004035995749263,0.28854201728758017,0.6996105248253783,0.02949715828190566,0.6805348456669148,-0.6662919307411601,Delivered,3.0
SHP001681,Mumbai,Bangalore,Fastship,2026-01-01,2025-12-31,2026-01-01 12:04:13.454650,2026-01-01 07:50:57.880171,-0.06778338136326784,0.32995584668125966,-0.6209354203433383,-0.5007921027908697,-0.7143197955964982,-0.129691360604541,Delivered,3.0
SHP003578,Jaipur,Delhi,Globalline,2026-01-01,2026-01-01,2026-01-01 08:34:49.142777,2026-01-01 08:18:53.241452,0.18483958757310326,0.0998527045875462,-0.7276803168432636,-0.6497431379261838,-0.7210817538837454,0.8169108146421714,Cancelled,4.0
SHP002675,Pune,Bangalore,Fastship,2026-01-02,2026-01-01,2026-01-03 02:08:54.271747,2026-01-02 20:13:19.673169,0.11751230642058642,0.28264238351048415,0.2609100190448943,0.10003349312091626,0.2544354033981991,-2.3754234253671918,Delayed,4.0
SHP003751,Ahmedabad,Delhi,Globalline,2026-01-02,2026-01-01,2026-01-02 12:06:39.490392,2026-01-02 04:54:11.581444,-0.47261598011442946,-0.2517301592304107,-0.36582435449985107,-0.499060836073311,-0.3125729479172311,-0.8444678226244222,Delayed,3.0
SHP004148,Delhi,Pune,Fastship,2026-01-01,2026-01-01,2026-01-02 07:46:47.889359,2026-01-01 19:58:21.641114,3.7980502871908097,2.4076029637494343,0.99538694526268,0.34037903371997397,0.8440093112574472,-1.9452065704523782,Delivered,4.0
SHP000335,Hyderabad,Jaipur,Fastship,2026-01-01,2026-01-01,2026-01-01 15:47:45.390366,2026-01-01 13:32:40.818022,-0.5638817616928572,-0.5923180658357438,-0.1918163764893899,-0.34179241158111645,-0.2462480499017246,0.34169291718589023,Delayed,3.4301601423487544
SHP000586,Pune,Lucknow,Fastship,2026-01-02,2026-01-01,2026-01-03 01:53:38.512640,2026-01-03 05:16:04.867883,0.4780749176458432,0.7086919116700507,0.40095074185169793,0.08917708742758262,0.284798209041466,1.350000480688524,Cancelled,3.4301601423487544
SHP003231,Chennai,Bangalore,Ecotrans,2026-01-01,2026-01-01,2026-01-01 17:49:56.423002,2026-01-01 17:21:08.127459,0.25636067238825855,0.25840441829012173,0.004009747912861415,-0.25488236741184206,0.32743940795990933,0.7655648294499903,In Transit,4.0
SHP004575,Bangalore,Mumbai,Ecotrans,2026-01-01,2026-01-01,2026-01-01 08:36:59.404800,2026-01-01 08:52:40.828425,-0.4841721798340079,-0.20933621707158082,-0.9167920962595021,-0.6481988700569495,-0.7388618953969344,0.943038142523665,Delayed,3.0
SHP004493,Chennai,Lucknow,Fastship,2026-01-01,2026-01-01,2026-01-01 06:43:37.254794,2026-01-01 04:01:36.250378,1.3574005347502323,1.3686396873757563,-1.064236299749482,-0.7288389635819377,-1.2075535272331455,0.23423833596441526,In Transit,3.0
SHP002840,Pune,Hyderabad,Globalline,2026-01-02,2026-01-01,2026-01-02 19:00:16.219522,2026-01-02 16:28:47.049265,-0.43055709640623485,-0.21034140581420904,0.27066267686598766,-0.20485630421386858,0.12533611254319227,0.2762403947782841,Delivered,5.0
SHP001153,Bangalore,Ahmedabad,Ecotrans,2026-01-01,2026-01-01,2026-01-02 18:50:28.734665,2026-01-02 16:09:31.135824,-0.7702970945847852,-0.7340335980414493,0.9247524154124899,0.812458697793111,0.8598361940233444,0.23845331018247923,Delivered,3.4301601423487544
SHP003476,Bangalore,Lucknow,Ecotrans,2026-01-01,2026-01-01,2026-01-02 11:29:11.579337,2026-01-01 22:09:53.398314,-0.32904844919484494,-0.1730518997648968,1.4240166124671032,0.49856966562882143,1.111366398242432,-2.3076314218615512,Cancelled,4.0
SHP004775,Bangalore,Kolkata,Ecotrans,2026-01-01,2026-01-01,2026-01-03 04:30:17.987371,2026-01-02 10:23:14.023241,-0.016207185938598642,-0.08232920195849754,1.7936814317868215,1.224888383935835,1.885270177037618,-2.3754234253671918,Delivered,4.0
SHP002722,Mumbai,Delhi,Globalline,2026-01-02,2026-01-01,2026-01-02 20:42:45.303525,2026-01-02 21:38:38.429837,-0.18780820369707124,-0.06480287927059837,-0.2839612125446501,-0.13195836626152366,-0.21441086871364087,1.1033594494015027,Delivered,3.0
SHP002616,Jaipur,Ahmedabad,Fastship,2026-01-01,2026-01-01,2026-01-01 11:30:38.874619,2026-01-01 09:51:42.817327,-0.6906457742509721,-0.6286876848092308,-0.8065401431450513,-0.5246751282949095,-0.676325119152624,-0.8352802474307497,In Transit,4.0
SHP002238,Jaipur,Chennai,Ecotrans,2026-01-02,2026-01-01,2026-01-02 16:20:10.393312,2026-01-02 16:10:38.495474,2.947689502731203,3.324940583687037,-0.5033677747678516,-0.31873422859471756,-0.5272287604428809,0.8424379831498569,Delivered,2.0
SHP002489,Jaipur,Hyderabad,Fastship,2026-01-01,2026-01-01,2026-01-02 11:56:26.238489,2026-01-02 03:39:53.255403,-0.014155415031864968,-0.10635006538662828,1.2147257849393942,0.5179486953179053,1.317561432656272,-1.1000745000847998,In Transit,3.4301601423487544
SHP002968,Mumbai,Hyderabad,Fastship,2026-01-03,2026-01-02,2026-01-03 08:51:49.236620,2026-01-03 07:14:30.936566,0.39991012801808884,0.2097185544409385,-0.6279822395846547,-0.6376498346588361,-0.8657496072331337,0.49234653515975046,Delivered,1.0
SHP000264,Mumbai,Ahmedabad,Ecotrans,2026-01-02,2026-01-02,2026-01-02 19:03:27.905614,2026-01-02 11:37:24.497005,0.4722264567192098,0.09275127229798664,-0.5057666245434637,-0.20258384853920372,-0.5016244170461109,-0.8986793023871235,Delivered,3.0
SHP004716,Delhi,Mumbai,Fastship,2026-01-02,2026-01-02,2026-01-03 21:01:23.981232,2026-01-03 14:50:46.028887,-0.5180792952133931,-0.611344359360967,1.5477415065745468,0.9055833447531226,1.469994877234017,-0.5978432721526155,Cancelled,3.0
SHP004958,Ahmedabad,Bangalore,Fastship,2026-01-01,2026-01-02,2026-01-02 10:20:53.515633,2026-01-02 06:38:38.237060,0.7293931021786029,1.0479621303088005,0.5195688790351787,0.4499867558026861,0.3727617798432353,-0.00602559017725486,Delivered,5.0
SHP003527,Delhi,Jaipur,Ecotrans,2026-01-02,2026-01-02,2026-01-04 21:31:25.181227,2026-01-04 21:18:46.898238,0.24923336420293177,0.6488620627743446,4.186653357240854,1.9512164182181755,4.073959022939956,0.8300477697325829,Delayed,3.0
SHP004139,Jaipur,Pune,Ecotrans,2026-01-02,2026-01-02,2026-01-03 05:57:06.474414,2026-01-03 06:15:28.898969,-0.16543658041856868,-0.20671164105853307,0.13690377228748438,0.262355773974567,0.4151717633281444,0.9537409043712523,Cancelled,4.0
SHP002498,Pune,Delhi,Ecotrans,2026-01-02,2026-01-02,2026-01-02 11:13:50.806454,2026-01-02 10:54:43.273223,-0.7420899214351698,-0.7072041113320379,-0.648826361230915,-0.5366258660831085,-0.39078895468658387,0.8041718158530512,Delivered,3.4301601423487544
SHP003766,Kolkata,Kolkata,Ecotrans,2026-01-02,2026-01-02,2026-01-03 02:16:19.765677,2026-01-02 20:52:18.546063,-0.6219172199487709,-0.6767291409479947,0.3271936670260986,0.1053148633023672,0.1793291718900005,-0.41192655495573155,Delayed,1.0
SHP002724,Pune,Jaipur,Fastship,2026-01-02,2026-01-02,2026-01-02 23:59:33.453437,2026-01-02 21:53:26.894752,-0.8503356395752939,-0.7453972588397404,-0.04673595114341876,0.008028301551340624,0.22743418524496684,0.3774581271323547,In Transit,3.0
SHP002899,Mumbai,Hyderabad,Ecotrans,2026-01-02,2026-01-02,2026-01-02 09:04:39.870045,2026-01-02 05:53:36.692158,0.21032829114005344,-0.006227168312922236,-0.8039218630745865,-0.6285139068373575,-0.6176743478646977,0.11842491949969385,Cancelled,5.0
SHP003206,Chennai,Bangalore,Ecotrans,2026-01-02,2026-01-02,2026-01-02 15:32:22.152763,2026-01-02 11:06:18.714386,-0.46147620463146616,-0.439366415668963,-0.1530363609692404,-0.35273747550374646,-0.1506362563922233,-0.18073618644283906,Delayed,2.0
SHP001517,Bangalore,Hyderabad,Globalline,2026-01-02,2026-01-02,2026-01-02 19:40:01.384839,2026-01-02 11:36:33.902724,-0.6317427856807856,-0.5653841792213525,-0.2112890061207327,-0.1765799571699796,-0.0795360988832212,-1.047857225168055,Cancelled,4.0
SHP001569,Jaipur,Jaipur,Fastship,2026-01-02,2026-01-02,2026-01-02 06:51:56.172902,2026-01-02 06:01:24.441827,-0.6905624399305778,-0.6071732566115153,-1.101592892160273,-0.7229242450198686,-0.9364713199943734,0.6789171306902427,Delivered,5.0
SHP003947,Bangalore,Mumbai,Globalline,2026-01-02,2026-01-02,2026-01-02 18:35:03.464203,2026-01-02 18:59:06.592994,0.10834728972224691,-0.04619999107626714,-0.3888241686920986,-0.22279015311902023,-0.33252248059425876,0.976389694650738,Delivered,3.4301601423487544
SHP000832,Jaipur,Pune,Ecotrans,2026-01-02,2026-01-02,2026-01-03 14:29:42.598193,2026-01-03 04:25:05.359585,-0.5879566326028006,-0.6052081759749833,0.4692991460660745,0.6269723578333614,0.299681102170179,-1.5311244487457705,Delivered,5.0
SHP000258,Ahmedabad,Bangalore,Fastship,2026-01-02,2026-01-02,2026-01-03 16:19:08.895221,2026-01-03 05:11:06.166206,-0.5034751502275453,-0.29107339963116374,1.0415376890851589,0.7048163933302172,0.9491153903504895,-1.7840997423630116,Delivered,5.0
SHP000819,Bangalore,Jaipur,Ecotrans,2026-01-02,2026-01-02,2026-01-04 08:56:35.751318,2026-01-03 18:38:02.597771,-0.8366944990550846,-0.7674999494132783,1.9136625393415316,1.4143061971176074,1.7035707767028365,-2.3754234253671918,Cancelled,2.0
SHP004104,Lucknow,Delhi,Globalline,2026-01-04,2026-01-03,2026-01-05 20:35:25.024812,2026-01-05 09:12:56.038852,2.0692172453953157,1.6728809808577094,1.645700272193413,0.8871017776887823,2.021844980367746,-1.8416853835214417,Delivered,5.0
SHP000631,Ahmedabad,Ahmedabad,Fastship,2026-01-04,2026-01-03,2026-01-04 12:06:09.287164,2026-01-04 07:43:19.715184,-0.21364989749604024,-0.27631624550604716,-0.2952057310165678,-0.4994188980245492,-0.4255702819071614,-0.1678486467414174,Delivered,3.0
SHP003285,Mumbai,Jaipur,Ecotrans,2026-01-03,2026-01-03,2026-01-03 14:29:18.069307,2026-01-03 16:07:44.986673,-0.440203782572318,-0.2569381646861064,-0.747567151483158,-0.3975981215580992,-0.9150238375837086,1.2731262790680196,In Transit,3.0
SHP004593,Mumbai,Delhi,Fastship,2026-01-03,2026-01-03,2026-01-03 20:01:49.372798,2026-01-03 18:59:37.594938,-0.5023498075673424,-0.3431938689306676,-0.33377942689209006,-0.16107364354330522,-0.07207767347798981,0.6323805422244239,Delayed,3.0
SHP000716,Chennai,Pune,Globalline,2026-01-03,2026-01-03,2026-01-03 16:28:04.169352,2026-01-03 10:52:47.954082,-0.36729246100268065,-0.2081810497627406,-0.12528524292934395,-0.31311757149343017,0.06197757300324026,-0.4567978346081157,Delivered,5.0
SHP000781,Lucknow,Jaipur,Fastship,2026-01-03,2026-01-03,2026-01-03 19:56:42.987311,2026-01-03 16:09:31.784701,0.858859910714753,1.1466674541438722,0.25149151288260224,-0.16470587074930354,0.5273157702336687,-0.025697554140367104,Delivered,4.0
