shipment_id,origin_city,destination_city,carrier,scheduled_dispatch_date,actual_dispatch_date,scheduled_arrival_date,actual_arrival_date,weight_kg,volume_m3,distance_km,transit_time_hours,fuel_cost_usd,delay_hours,status,customer_rating
SHP000878,Delhi,Jaipur,FastShip ,2026-04-24,,2026-04-25 10:05:32.685861,2026-04-24 22:26:26.267865,244.66834189719665,1.4164850583140065,1157.6011510151563,28.410343949364517,,-11.651782776666666,Delivered,3.0
SHP004886,Ahmedabad,Ahmedabad,GlobalLine,2026-01-21,2026-01-20,2026-01-21 03:58:54.668035,2026-01-21 02:35:06.530919,463.02827071751716,1.4322362233057506,157.60482176740217,3.3182101931767716,13.292285391172873,-1.3967047544444444,Delivered,4.0
SHP002485,Hyderabad,Mumbai,EcoTrans,2026-03-08,2026-03-08,2026-03-08 06:06:25.762705,2026-03-08 04:36:07.142398,2330.41966187905,6.917755017623344,234.75904268384105,5.089296922534643,12.383368554354856,-1.5051723075,Delayed,4.0
SHP002289,Hyderabad,Ahmedabad,ecotrans,2026-05-18,2026-05-17,2026-05-18 06:16:14.938791,2026-05-18 07:21:29.232256,316.9626197927349,1.6720001315630195,277.44436523577235,5.2256802756368055,14.02700809758256,1.0873037402777779,Delayed,4.0
SHP000812,Delhi,Delhi,EcoTrans,2026-04-20,2026-04-20,2026-04-20 08:26:38.394632,2026-04-20 08:05:16.964715,1013.7969288563957,3.80910147906834,298.9041600723489,7.036665424154659,21.188328522946435,-0.3559527547222222,Delivered,5.0
SHP000249,Delhi,Lucknow,FastShip ,2026-02-15,2026-02-15,2026-02-15 06:59:21.016106,2026-02-15 05:33:44.959105,870.295265552488,2.9330238266602904,292.9121635451434,5.8243092837027985,14.802948562056008,-1.4266825002777779,Delayed,5.0
SHP003299,Jaipur,Pune,GlobalLine,2026-01-16,2026-01-17,2026-01-16 11:55:37.679599,2026-01-16 06:42:27.130647,408.84467161803957,1.8888876675103636,423.54479341909234,9.93927768484015,22.87264023336644,-5.219596931111111,Delivered,3.0
SHP000107,Lucknow,Ahmedabad,EcoTrans,2026-02-07,2026-02-07,2026-02-07 05:01:44.322725,2026-02-07 03:20:45.148953,768.0536024211856,3.0655428318065687,195.80617735187218,4.190815445645398,7.1086912612086275,-1.6831038255555555,In Transit,
SHP000280,Hyderabad,Kolkata,GlobalLine,2026-05-13,2026-05-13,2026-05-14 10:55:50.879101,2026-05-14 06:12:51.321300,525.3115661767365,2.2425290898000902,971.1558992246235,29.108999791792485,55.71358657121141,-4.7165438336111105,Delayed,1.0
SHP001282,Delhi,Mumbai,EcoTrans ,2026-02-26,2026-02-26,2026-02-26 18:18:05.039330,2026-02-26 21:32:03.027601,156.8455757501735,0.4633246956130002,1075.3711841308868,15.251166511580331,61.48668181131136,3.232774519722222,Delivered,3.0
SHP002823,Pune,Hyderabad,FastShip,2026-03-21,2026-03-21,2026-03-21 21:43:36.076274,2026-03-21 19:36:12.382822,422.5082158716183,1.898352399086914,805.0429229613261,18.105573211671302,38.211388392028745,-2.1232481811111112,In Transit,1.0
SHP004160,Lucknow,Chennai,FastShip ,2026-05-31,2026-05-31,2026-05-31 04:39:46.763018,2026-05-31 04:38:38.141405,109.23765483527097,0.3295018753528838,263.79846118255955,3.885824772715578,20.65039548505783,-0.019061559166666665,Delivered,5.0
